word	lang	translation	tags	form_of	etymology	pos	vform	case	gender	number	other
ёв	rom	он, лэс его, вин.	мест.		снскр. ayam этот, он	PRON					
ёжыко	rom	ёжик	м.		русск.	NOUN			m		
ёй	rom	она, ла её, вин.	мест.			PRON					
екджино	rom	один				ADJ					
екх	rom	один, одна	числ.		снскр. éka один	NUMR					
екхатыр	rom	сразу	нар.			ADVB					
екхджено	rom	см. екджино			екх + джино	unknown					
екхори	rom	одна-единственная		ж. к екхоро		ADJ					
екхоро	rom	один-единственный			уменыш. от екх	ADJ					
екхэ	rom	один, одна, одни	завис. ф. при сущ.			ADJ					завис. ф. при сущ.
екхэджинэскэ	rom	одному человеку		дат. ед. м. к екхджино		unknown					
екхэс	rom	одного		вин. ед. м. к екх		ADJ					
екхэтанэ, кхэтанэ	rom	вместе	нар.		екх + тхан ‘место’	ADVB					
екхэштэтытко	rom	оседлый, букв.: одноместный			екх + штэто ‘место’	ADJ					
ёлкица	rom	ёлочка	ж.		русск.	NOUN			f		
ёнэ	rom	они	мест.			PRON					
еня дэша	rom	90	числ.			NUMR					
еня, эня	rom	9	числ.		греч. έννιά девять, др.-арм. inn, inɘ	NUMR					
енято, энято	rom	9-й	числ.			NUMR					
еняшэл, эняшэл	rom	900	числ.			NUMR					
ж, жэ	rom	же	част.			PRCL					
жамба	rom	жаба, лягушка	ж.		греч. τζάμπα жаба (из слав.)	NOUN			f		
жамбы	rom	жабы, лягушки		мн. к жамба		NOUN					
жанда	rom	челюсть	ж.		литовск. žándas (м.)	NOUN			f		
жужакирла	rom	чистит	гл. пер.		жужо + кэрэл	VERB	TRAN				
жужо	rom	чистый	прил.		снскр. śuci, śuddhá чистый	ADJ					
жужы	rom	чистая		ж. к жужо		ADJ					
жужыпэн	rom	чистота	м.			NOUN			m		
журавлё	rom	журавль	м.		слав.	NOUN			m		
журавли	rom	журавли		мн. к журавлё		NOUN					
жыко	rom	до, вплоть до			жыкэ + артикль о	PREP					
жыко кирло	rom	по горло				unknown					
жыкэ	rom	до, вплоть до	предл., с им.			PREP					с им.
жэ	rom	же	част.		слав.	PRCL					
за	rom	за, со за ...? что за ...?	предл.		русск.	PREP					
забага	rom	запой	повел.		за- + бага-	VERB	IMPER				
забагава	rom	запою				VERB					
забагал	rom	запоет	гл. пер.			VERB	TRAN				
забистрав, забистрава	rom	забуду, забываю			от бистрэл	VERB					
забистырдо	rom	забыт	прич.		от бистрэл	PRTCP					
загыём, загэём	rom	зашёл, зашла				VERB					
задживаса	rom	заживем				VERB					
заджява	rom	захожу				VERB					
задорна	rom	задорные		мн. к задорно		ADJ					
задорно	rom	задорный	прил.		русск.	ADJ					
задымэ андрэ	rom	запряженный	прич.			PRTCP					
задыяпэ	rom	задавался (он), задавалась				VERB					
закрэнцындя	rom	закружил[а]				VERB					
закрэнцындяпэ	rom	закружился (он), закружилась				VERB					
закхиныи	rom	утомившись	деепр.		за + кхинёвава	GRND					
закэдэна	rom	забирают				VERB					
закэр	rom	закрой	повел.			VERB	IMPER				
залыджия, залыдия	rom	занес[ла], завел[а]			от лыджял	VERB					
залыджял	rom	заведет, занесет	гл. пер.			VERB	TRAN				
залыи	rom	занимая[сь]	деепр.			GRND					
залэёмпэ	rom	занлс, занлась				unknown					
залэла	rom	займёт	гл. неп.			VERB	INTR				
залэлапэ, залэлпэ	rom	занимается	гл. неп.			VERB	INTR				
залэнапэ	rom	занимаются				VERB					
залэса	rom	займёшь				VERB					
замакхэла	rom	замазывает	гл. пер.			VERB	TRAN				
замардяпэ	rom	забилось				VERB					
замэйом, замыём	rom	замер[ла]			от мэрэл	VERB					
запрастандыя	rom	забежал[а]			от прастал	VERB					
зарискир	rom	поверни, завороти	повел.			VERB	IMPER				
зарундя	rom	заплакал[а]			от ровэл	VERB					
засутя	rom	заснула			от совэл	VERB					
затасавэл	rom	задавит, задушит	гл. пер.			VERB	TRAN				
затасавэн	rom	затопчут, задавят				VERB					
захасиём	rom	пропал[а]				VERB					
захаськирна	rom	загубят				VERB					
захачкир	rom	зажги	повел.			VERB	IMPER				
захачкирдо	rom	зажженный	прич.			PRTCP					
захачкирэн	rom	зажгите	повел.			VERB	IMPER				
зачидя	rom	залил[а]				VERB					
зачював	rom	закладываю, заставляю				VERB					
зашундяпэ	rom	заслышал[а]				VERB					
зашутимэ	rom	засохший, -ая, -ие	прич.			PRTCP					
збага	rom	спой	повел.			VERB	IMPER				
збагава	rom	спою				VERB					
збагандя	rom	спел[а]				VERB					
збагандян	rom	спел[а]				VERB					
збагаса	rom	споёшь				VERB					
збандёви	rom	согнувшись	деепр.			GRND					
збандёла	rom	сгибается	гл. неп.			VERB	INTR				
збандимэ, збангимэ, збан[дь]кимэ	rom	согнувшийся, -аяся, -иеся	прич.			PRTCP					
здрав, издрав	rom	дрожу				VERB					
злыджял	rom	сводит, опускает	гл. пер.			VERB	TRAN				
злыдни	rom	несчастья, ничтожества		мн. к злыдня		NOUN					
злыдня	rom	неудачник, ничтожество	м./ж.		слав.	NOUN			m.;f.		
злыи	rom	сняв	деепр.			GRND					
змар	rom	сбей	повел.			VERB	IMPER				
змэки	rom	спустив, опустив, спустя	деепр.			GRND					
змэки курко	rom	спустя неделю				unknown					
змэклэпэ	rom	спустились				VERB					
знатна	rom	почтенные		мн. к знатно		ADJ					
знатно	rom	знатный, почтенный	прил.		слав.	ADJ					
знатнэдыр	rom	знатнее	сравн.			COMP					
зор	rom	сила	ж.		др.-перс., др.-арм. zor	NOUN			f		
зорало	rom	сильный	прил.		от зор	ADJ					
зоралы	rom	сильная		ж. к зорало		ADJ					
зоралыдыр	rom	сильнее	сравн.			COMP					
зоралэс	rom	сильно	нар.			ADVB					
зори	rom	зори		мн. к зоря		NOUN					
зоря	rom	заря	ж.		слав.	NOUN			f		
зракир	rom	уговори, подговори	повел.			VERB	IMPER				
зракхэс	rom	спасешь				VERB					
зрипирэла	rom	вспоминает				VERB					
зрискирдём	rom	сорвал[а]				VERB					
зумав	rom	гадай	повел.		др.-перс. azmūtan пробовать	VERB	IMPER				
зумавэл	rom	гадает	гл. неп.			VERB	INTR				
зуми	rom	суп	ж.		греч. ζουμἰ (ср.)	NOUN			f		
зыма	rom	зима	ж.		слав.	NOUN			f		
зэлэно	rom	зеленый, -ая			слав.	ADJ					
зэн, дзэн	rom	седло	ж.		др.-перс. zen	NOUN			f		
зэт, дзэт	rom	масло растительное	м.		др.-арм. dzeth	unknown			m		
и	rom	и	сз.		слав.	CONJ					
ив, йив	rom	снег	м.		снскр. hima (ср.) снег	NOUN			m		
иворо	rom	снежок	м.		уменьш. от ив	NOUN			m		
ивья	rom	зря, напрасно	нар.			ADVB					
идя	rom	одежды, одеяния	ж., только мн.		греч. γιδιά. козья шкура, ср. эгида	NOUN			f	pl	
издрал, здрал	rom	дрожит	гл. неп.			VERB	INTR				
издрандыя	rom	задрожал[з]				VERB					
издраса	rom	дрожишь				VERB					
или	rom	или	сз.			CONJ					
ило, йило	rom	сердце, живот	м.		снскр. hṛ́d сердце	NOUN			m		
илоро	rom	сердечко	м.		уменьш. от ило	NOUN			m		
илытко	rom	сердечный, -ая			от ило	ADJ					
илэ	rom	сердца		мн. к ило		NOUN					
илэса	rom	сердцем		тв. ед. к ило		NOUN					
илэскири	rom	сердечная		ж. к илэскиро		ADJ					
илэскиро	rom	сердечный		ф. принадл. ед. к ило		ADJ					
инкэ	rom	ещё	част.			PRCL					
иноходцо	rom	иноходец	м.			NOUN			m		
инструменто	rom	инструмент	м.			NOUN			m		
инъекцыя	rom	укол, инъекция	ж.			NOUN			f		
исын, исы	rom	есть				INTJ					
исын мангэ...	rom	есть у меня, обычно: сы мандэ...				unknown					
исыс, сыс	rom	был он, была она, были они				VERB					
ише	rom	еще	част.		русск. диал.	PRCL					
й	rom	и, произносительный вариант	сз.			CONJ					
йе	rom	артикль, см. э				NOUN					
йив	rom	снег	м.			NOUN			m		
йило	rom	сердце	м.			NOUN			m		
йо	rom	артикль, см. о				NOUN					
йов, ёв	rom	он				PRON					
к	rom	ко, редк., обычно кэ	предл., с им.			PREP					с им.
каґны	rom	курица	ж.		снскр. ku-pakṣ̌inī (ж.) нелетающая птица	NOUN			f		
каждо, кажно	rom	каждый, -ая	мест.			PRON					
каждонатэ	rom	у каждой		местн. ед. ж. к каждо		unknown					
кай	rom	у, при, к	предл., с им.		от кай 'где'	PREP					с им.
кай, катэ	rom	где, также: что, который	мест.		др.-инд. kahiṃ, снскр. kva где	PRON					
как	rom	дядя	м.		перс. kaká, курдск. Как	NOUN			m		
како, каку, каколэ	rom	дядя		зват. ф. к как		NOUN					
калёл, калёла	rom	чернеет	гл. неп.		кало + явэла	VERB	INTR				
калина	rom	калина	ж.		слав.	NOUN			f		
калинакэ	rom	калине		дат. ед. к калина		NOUN					
калины	rom	калины		мн. к калина		NOUN					
кало	rom	черный, вороной	прил.		снскр. kāla черный	ADJ					
кало-мэлало	rom	черный, запачканный				NOUN					
калы	rom	черная		ж. к кало	снскр. kālī черная	ADJ					
калыдыр	rom	чернее	сравн.	сравн. к кало		COMP					
калэ	rom	черные, вороные		мн. к кало		NOUN					
калэ	rom	черный, черная, черные	завис. ф. при сущ.			NOUN					завис. ф. при сущ.
калэндэр	rom	[от] черных		отл. мн. к кало		NOUN					
калэстыр	rom	от черного		отл. ед. к кало		unknown					
калякирэлапэ	rom	чернеет	гл. неп.			VERB	INTR				
калятыр	rom	[от] черной		отл. ед. ж. к кало		ADJ					
камав	rom	люблю				VERB					
камам	rom	желаю, люблю			снскр. kām-/kam любить	VERB					
камло	rom	любимый, милый	прич. и прил.			PRTCP;ADJ					
камлытка	rom	влюбленные	прил., мн.			ADJ				pl	
камлыпэн	rom	любовь	м.			NOUN			m		
камлэ	rom	любимые		мн. к камло		ADJ					
камлэ	rom	хотели, любили				VERB					
камьём	rom	хотел[а]				VERB					
камья	rom	хотел[а], любил[а]				VERB					
камэл, камэла	rom	хочет, любит	гл. пер.			VERB	TRAN				
камэн, камэна	rom	любят				VERB					
камэс, камэса	rom	хочешь				VERB					
кан	rom	ухо	м.		снскр. kárṇa (м.) ухо	NOUN			m		
кана	rom	уши		мн. к кан		NOUN					
кана, акана	rom	сейчас, теперь, ныне, в песнях часто не переводится	нар.			ADVB					
кандэл	rom	слушается, букв.: ухо дает	гл. неп.			VERB	INTR				
каравул	rom	караул!	межд.			INTJ					
карик	rom	куда	нар.		кай + риг 'сторона'	ADVB					
карэдын	rom	ружьё	ж.		от карья 'шипы' + дэл, дыны	NOUN			f		
карэдынятыр	rom	из ружья		отл. ед. к карэдын		unknown					
катыр	rom	откуда	нар.			ADVB					
катэ, кай	rom	где	нар.			ADVB					
качинэла	rom	качает	гл. пер.		русск.	VERB	TRAN				
качинэлапэ	rom	качается	гл. неп.			VERB	INTR				
кашт	rom	дерево	м.		снскр. kāṣ̌ṭhá (ср.) палка	NOUN			m		
кашт	rom	тысяча	м.			NOUN			m		
кашторо	rom	палочка	м.		уменыш. от кашт	NOUN			m		
кашторэ	rom	палочки		мн. к кашторо		NOUN					
кашторэнца	rom	палочками		тв. мн. к кашторо		NOUN					
каштуно	rom	деревянный	прил.			ADJ					
каштуны	rom	деревянная		ж. к каштуно		ADJ					
кашуко	rom	глухой	прил.		кан ухо + шуко сухой	ADJ					
кердэ	rom	сделали				VERB					
кин	rom	купи	повел.		снскр. krīṇ купить	VERB	IMPER				
кинав, кинава	rom	куплю, покупаю				VERB					
киндёла	rom	мокнет	гл. неп.		от киндо + явэла	VERB	INTR				
киндо	rom	мокрый				ADJ					
киндя	rom	купил[а]				VERB					
кинэл, кинэла	rom	покупает	гл. пер.			VERB	TRAN				
кинэн	rom	покупаете				VERB					
кинэс	rom	купишь, покупаешь				VERB					
кир, кири	rom	муравей, мн. кирья	ж.		снскр. kīṭī (ж.) червь, насекомое	NOUN			f		
кирал	rom	творог	м.		снскр. kilaṭa (м.) сгущенное молоко	NOUN			m		
киргизо	rom	конь киргизской породы	м.			unknown			m		
кириви	rom	кума	ж.		курдск. КИТ» (м.) кум	NOUN			f		
кирки	rom	осина, букв.: горькая	ж.			NOUN			f		
киркипэн	rom	горечь	м.			NOUN			m		
киркипэна	rom	горести		мн. к киркипэн		NOUN					
кирко	rom	горький	прил.		снскр. kaṭuka горький	ADJ					
киркори	rom	горьковатая		ж. к киркоро		ADJ					
киркоро	rom	горьковатый	прил.		уменьш. от кирко	ADJ					
киркэ	rom	горькие		мн. к кирко		NOUN					
киркэс	rom	горько	нар.			ADVB					
кирло	rom	горло	м.			NOUN			m		
кирлэса	rom	[с] горлом		тв. ед. к кирло		NOUN					
кирно	rom	гнилой, жалкий				ADJ					
кирнэ	rom	гнилые, жалкие		мн. к кирно		ADJ					
кирья	rom	муравьи		мн. к кир и кири		NOUN					
кисык	rom	карман	ж.		курдск. kîse, перс. kise кошель, карман	NOUN			f		
кицы	rom	сколько	мест.		снскр. káti сколько	PRON					
клёно	rom	клён	м.		русск.	NOUN			m		
клёны	rom	клёны		мн. к клёно		NOUN					
ко	rom	у, при, к	предл. с им.		кэ + артикль о	PREP					с им.
ко форо	rom	в город, в городе				unknown					
кова	rom	нечто, (мн. кола) – в значении «вещи, имущество»	мест.			PRON					
ковалё	rom	кузнец	м.		укр., пол.	NOUN			m		
ковали	rom	кузнецы		мн. к ковалё		NOUN					
ковло	rom	мягкий	прил.		снскр. komala мягкий	ADJ					
ковлэдыр	rom	мягче	сравн.			COMP					
козако	rom	казак	м.			NOUN			m		
кокало	rom	кость	м.		греч. κόκκαλο (ср.) кость	NOUN			m		
кокалы	rom	кости		мн. к кокало		NOUN					
кокори	rom	сама		ж. к кокоро		ADJ					
кокоро	rom	сам	мест.			PRON					
кокорэ	rom	сами		мн. к кокоро		ADJ					
коли, коль	rom	когда, если, коли	сз.		русск. диал.	CONJ					
кон	rom	кто	мест.			PRON					
кон-то	rom	кто-то	мест.			PRON					
концо	rom	конец	м.			NOUN			m		
кончинэ	rom	заканчивай	повел.			VERB	IMPER				
кончинэ, кончинэла	rom	заканчивает	гл. пер.			VERB	TRAN				
кончисалыя	rom	кончилось, кончился (он), кончилась				VERB					
кончисола	rom	кончается	гл. пер.			VERB	TRAN				
конэс	rom	кого		вин. к кон		PRON					
конэскиро, конэскро	rom	чей		ф. принадл. к кон		ADJ					
конэстыр	rom	кого		отл. ед. к кон		PRON					
конэстэ	rom	[у] кого		местн. ед. к кон		PRON					
копыто	rom	копыто	м.			NOUN			m		
копытэнца	rom	[с] копытами		тв. мн. к копыто		NOUN					
корнё	rom	корень, коренник	м.			NOUN			m		
короро	rom	слепой	прил.		др.-перс. kōr слепой	ADJ					
корорэс	rom	слепо	нар.			ADVB					
костритко	rom	костровой	м.		от костро костер (русск.)	ADJ			m		
костя	rom	обругал[а]			от кошэла	VERB					
котыр	rom	кусок	м.		армянск. kətór кусок	NOUN			m		
кофари	rom	барышник, торговец, конный торговец	м.			NOUN			m		
кофарья	rom	барышники		мн. к кофари		NOUN					
кофо	rom	барыш, доход	м.		нем. Kauf (м.) сделка, покупка, купля	NOUN			m		
кошлэ	rom	обругали				VERB					
кошэла	rom	ругает, бранит	гл. пер.		снскр. króś- звать, кричать	VERB	TRAN				
кошэн	rom	ругайте	повел.			VERB	IMPER				
крали	rom	король	м.		слав.	NOUN			m		
криг	rom	прочь	нар.			ADVB					
крымо	rom	крымский цыган	м.			unknown			m		
крымы	rom	крымские цыгане		мн. к крымо		unknown					
крэнца	rom	кудрявые		мн. к крэнцо		ADJ					
крэнцо, крэцо	rom	кудрявый, -ая	прил.		румынск. creț	ADJ					
крэнцынэлпэ	rom	кружится	гл. неп.			VERB	INTR				
ксил	rom	масло сливочное	м.		снскр. ghṛtá (ср.)	unknown			m		
кудуницы	rom	колокольчики	мн.		греч. κουδο (ср.)	NOUN				pl	
кукиндя	rom	куковал[а]				VERB					
кукинэла	rom	кукует	гл. неп.		слав. (кук-овать)	VERB	INTR				
кукушка	rom	кукушка	ж.		слав.	NOUN			f		
кукушки	rom	кукушки		мн. к кукушка		NOUN					
кума	rom	кума, см. кириви	ж.			NOUN			f		
купцо	rom	купец	м.		русск.	NOUN			m		
куско, котыр	rom	кусок	м.			NOUN			m		
кустык	rom	пояс	ж.		др-перс. kustīk, kustīg	NOUN			f		
кухня	rom	кухня	ж.			NOUN			f		
куч	rom	богато, прекрасно, также в знач. неизм. прил.	нар.			ADVB					
кучипэн	rom	роскошь, богатство	м.			NOUN			m		
ку-юмушка	rom	кумушка			русск.	NOUN					
кхам	rom	солнце, пот	м.		снскр. gharmá (м.) солнечное тепло, свет	NOUN			m		
кхаморо	rom	солнышко			уменыш. от кхам	NOUN					
кхамэса	rom	[с] солнцем		тв. ед. к кхам		NOUN					
кхамэскэ	rom	солнцу		дат. ед. к кхам		NOUN					
кхар	rom	зови	повел.		др.-инд. khyā-(k)ar- звать, именовать	VERB	IMPER				
кхарав	rom	зову				VERB					
кхарас	rom	зовём				VERB					
кхарибэн	rom	зов	м.			NOUN			m		
кхарна, кхарэна, кхарэн	rom	зовут				VERB					
кхарэл, кхарэла	rom	зовет	гл. пер.			VERB	TRAN				
кхарэн, кхарэнти, кхарэнте	rom	зовите	повел.			VERB	IMPER				
кхас	rom	сено	м.		снскр. ghāsá (м.) корм	NOUN			m		
кхер	rom	см. кхэр				unknown					
кхерэстыр	rom	см. кхэрэстыр				unknown					
кхинёла	rom	устаёт			кхино + явэла	VERB					
кхино	rom	усталый	прил.		снскр. kṣ̌iná опустошенный, изможденный	ADJ					
кхиныян	rom	устал[а]				VERB					
кхосло	rom	вытерт	прич.			PRTCP					
кхослэ	rom	натерли				VERB					
кхостём	rom	натер[ла]				VERB					
кхосэла	rom	трет	гл. пер.		снскр. gharṣ̌-	VERB	TRAN				
кхудо	rom	плетеный	прич. и прил.			PRTCP;ADJ					
кхудэ	rom	плетеные		мн. к кхудо		ADJ					
кхур	rom	пятка	ж.		снскр. khura (м.) копыто, лапа	NOUN			f		
кхэлдо	rom	игривый, танцующий	прич. и прил.			PRTCP;ADJ					
кхэлдэ	rom	сплясали, играли				VERB					
кхэлдя	rom	поиграл[а], сплясал[а]				VERB					
кхэлла	rom	см. кхэлэл				unknown					
кхэлпэ	rom	играйся	повел.			VERB	IMPER				
кхэлыбнытко	rom	игривый, игральный, танцевальный	прил.			ADJ					
кхэлыбнытконэнца	rom	[с] игривыми		тв. мн. к кхэлыбнытко		ADJ					
кхэлыбэн	rom	игра, танец, пляска	м.			NOUN			m		
кхэлэл, кхэлэла, кхэлла	rom	играет, пляшет, танцует	гл. пер./неп.		снскр. kṣ̌vel- играть, веселиться	VERB	TRAN;INTR				
кхэлэлас	rom	плясал[а]				VERB					
кхэлэлпэ	rom	играется	гл. неп.			VERB	INTR				
кхэлэна	rom	играют, пляшут				VERB					
кхэр	rom	дом	м.		снскр. grhá (ср.)	NOUN			m		
кхэра	rom	дома		мн. к кхэр		NOUN					
кхэрав	rom	правильно кхарав зову				unknown					
кхэритко	rom	домашний, -яя	прил.		от кхэр	ADJ					
кхэроро	rom	домик			уменьш. от кхэр	NOUN					
кхэрэ	rom	дома, домой	нар.			ADVB					
кхэрэла	rom	см. кхарэла				unknown					
кхэрэскиро	rom	домашний, принадлежащий дому		им. ед. м. ф. принадл. ед. к кхэр		ADJ					
кхэрэстыр	rom	из дома		отл. ед. к кхэр		unknown					
кхэрэстэ	rom	у дома		местн. ед. по типу одуш. к кхэр		unknown					
кхэтанэ, екхэтанэ	rom	вместе	нар.			ADVB					
кэ	rom	у, при, к	предл. с им.		от кай	PREP					с им.
кэ бельвель	rom	под вечер				unknown					
кэ пэ	rom	к себе				unknown					
кэ яг	rom	у огня				unknown					
кэлдэраря	rom	кэлдэрари, самоназвание этногруппы цыган, в севернорус. диал. котлярья				NOUN					
кэр	rom	делай	повел.		др.-инд. kṛ-, kar-	VERB	IMPER				
кэрав	rom	делаю				VERB					
кэравапэ	rom	делаюсь				VERB					
кэравэла	rom	варит	гл. пер.		от кэрав	VERB	TRAN				
кэравэнас	rom	варили				VERB					
кэрдёмпэ	rom	сделалс				NOUN					
кэрдо	rom	сделано				PRTCP					
кэрдо	rom	сделанный	прич.			PRTCP					
кэрдэ	rom	сделали				VERB					
кэрдя	rom	сделал[а]				VERB					
кэрдян	rom	сделал[а]				VERB					
кэрдяпэ	rom	сделалось, случилось				VERB					
кэрла, кэрэл, кэрэла	rom	делает, работает	гл. пер.			VERB	TRAN				
кэрэлас	rom	делал[а]				VERB					
кэрэлпэ, кэрэламэ	rom	делается, становится				VERB					
кэрэна	rom	делают				VERB					
кэрэса	rom	делаешь				VERB					
ла	rom	её		вин. к ёй		ADJ					
лав	rom	слово, имя	м.		снскр. nā́ma(n) (ср.) имя	NOUN			m		
лав, лава	rom	беру, возьму			снскр. labh- получать	VERB					
лава	rom	слова, мн. клав				NOUN					
лаворо	rom	словцо			уменьш. от лав	NOUN					
лаворэ	rom	словечки		мн. к лаворо		NOUN					
Лавэнг(и)ро	rom	Мастер слов, прозвание	м.			unknown			m		
лавэнгирэнгири	rom	принадлежащая мастеру слов				unknown					
лавэнгирэскиро	rom	принадлежащий мастеру слов				unknown					
лавэнца	rom	словами, тв. мн. клав				NOUN					
лавэса	rom	[со] словом		тв. ед. к лав		NOUN					
ладж, ладжь	rom	стыд	ж.		хинди. lāj (ж.) стыд	NOUN			f		
ладжя	rom	стыдись	повел.			VERB	IMPER				
ладжякирэл	rom	устыдит	гл. пер.			VERB	TRAN				
ладжял	rom	стыдится	гл. неп.			VERB	INTR				
ладжяндыя	rom	стыдился, стыдилась				VERB					
ладжянэс	rom	стыдливо	нар.			ADVB					
лакири	rom	её, принадлежащая ей		им. ед. ж. ф. принадл. к ёй		ADJ					
лакиро, лакро	rom	её, принадлежащий ей		им. ед. м. ф. принадл. к ёй		ADJ					
лакирэ	rom	её, принадлежащие ей		им. мн. м. ф. принадл. к ёй		ADJ					
лало	rom	лал, рубин	м.			NOUN			m		
лангал	rom	хромает	гл. неп.		снскр. lańga хромой	VERB	INTR				
лангандыя	rom	захромал[а]				VERB					
ласа	rom	[с] нею				NOUN					
ласкаятельно	rom	ласкательно	нар.			ADVB					
ластава	rom	см. латхава				unknown					
ластём	rom	см. латхьём				unknown					
латхава	rom	нахожу			снскр. lakṣ̌ - замечать	VERB					
латхло, латхно	rom	найден	прич.			PRTCP					
латхнэ, латхлэ	rom	нашли				VERB					
латхьём	rom	нашёл, нашла				VERB					
латхья	rom	нашёл, нашла				VERB					
латхэл, латхэла	rom	находит	гл. пер.			VERB	TRAN				
латхэса	rom	найдёшь				VERB					
латыр	rom	от неё		отл. к ёй		unknown					
латэ	rom	[у] неё		местн. к ей		PRON					
лаче	rom	добрые, хорошие		мн. к лачё		ADJ					
лаче	rom	хороший, добрый, -ая, ие	завис. ф. при сущ.			ADJ					завис. ф. при сущ.
лачё	rom	добрый, хороший	прил.		снскр. acchā чистый, прозрачный	ADJ					
лачи	rom	добрая, хорошая		ж. к лачё		ADJ					
лачипнастыр	rom	от доброты		отл. ед. к лачипэн		unknown					
лачипэн	rom	доброта	м.			NOUN			m		
лёдо	rom	лёд	м.		слав.	NOUN			m		
ли, ль	rom	ли	част.			PRCL					
ловаря	rom	ловари, самоназвание этногруппы цыган, в севернорус. диал. ловарья				NOUN					
ловорэ	rom	денежки			уменьш. от ловэ	NOUN					
ловэ	rom	деньги	только мн.		снскр. lohá (м.) медь	NOUN				pl	
ловэнца	rom	[с] деньгами		тв. к ловэ		NOUN					
лодыи	rom	кочуя	деепр.		от лодава, снскр. lard- грузить	GRND					
лозе, лозэ	rom	зват. ф. в песне		возм. к ж. имени Лоза		unknown					
локхи	rom	легкая		ж. к локхо		ADJ					
лекхо	rom	легкий	прил.		снскр. laghú легкий	ADJ					
локхорэс	rom	легонечко	нар.		уменьш. от локхэс	ADVB					
локхыдыр	rom	легче	сравн.			COMP					
локхэс	rom	легко	нар.		от локхо	ADVB					
лоло	rom	красный	прил.		снскр. lóhita- нечто красное	ADJ					
лолоро	rom	красненький	прил.		уменьиш. от лоло	ADJ					
лолорэ	rom	красненькие		мн. к лолоро		ADJ					
лолы	rom	красная		ж. к лоло		ADJ					
лолэ	rom	красные		мн. к лоло		ADJ					
лоля	rom	красную, вин. ед. ж. клолы				ADJ					
лон, лонд	rom	соль	м.		снскр. lavaṇá- (ср.) соль	NOUN			m		
лопата	rom	лопата	ж.		русск.	NOUN			f		
лулуди	rom	цветок	ж.		недавнее заимствование из южных цыг, диал., греч. λουλου̃δι (ср.) цветок	NOUN			f		
лулудя	rom	цветы, мн. клулуди				NOUN					
лулудяса	rom	[с] цветком		тв. ед. к лулуди		NOUN					
лыджиём	rom	вёл, вела				VERB					
лыджино	rom	приведен	прич.			PRTCP					
лыджинэ	rom	привели				VERB					
лыджия	rom	вёл, вела				VERB					
лыджяв	rom	веду, несу			хинди le-jā- уносить	VERB					
лыджял, лыджяла	rom	ведет, несет	гл. пер.			VERB	TRAN				
лыём	rom	взла				NOUN					
лыл	rom	бумага, документ, лист, письмо	м.		снскр. likhitá (ср.) письмо, документ	NOUN			m		
лыла	rom	бумаги		мн. к лыл		NOUN					
лылвари	rom	книга	ж.		от лыл	NOUN			f		
лылоро	rom	листочек	м.		уменьш. от лыл	NOUN			m		
лынае	rom	летом	нар.			ADVB					
лынай	rom	лето	м.		снскр. nidāghá (м.) лето	NOUN			m		
лынаскиро, лынаскро	rom	летом	нар.			ADVB					
лыно	rom	взят	прич.			PRTCP					
лынэ	rom	взяли				VERB					
лыя	rom	взял[а]				VERB					
лыян	rom	взял[а]				VERB					
лэ	rom	возьми, бери	повел.		снскр. labh- получать	VERB	IMPER				
лэ-ка	rom	возьми-ка	повел.			VERB	IMPER				
лэл, лэла	rom	берет, возьмёт, в сложн. будущем: возьмет(ся), станет	гл. пер.			VERB	TRAN				
лэн	rom	их		вин. к ёнэ		PRON					
лэн, лэна	rom	берут				VERB					
лэнгиро, лэнгро	rom	их, принадлежащий им		им. ед. м. ф. принадл. к ёнэ		PRON					
лэнгирэ	rom	их, принадлежащие им		мн. ед. м. ф. принадл. к ёнэ		PRON					
лэнгэ	rom	им		дат. мн. к ёнэ		NOUN					
лэндэ	rom	[у] них		местн. к ёнэ		PRON					
лэнца	rom	[с] ними		тв. к ёнэ		PRON					
лэс	rom	его		вин. ед. к ёв		PRON					
лэс, лэса	rom	берешь, возьмешь				VERB					
лэс нанэ	rom	его нет				unknown					
лэса	rom	[с] ним		тв. к ёв		PRON					
лэскири, лэскри	rom	его, принадлежащая ему		им. ед. ж. ф. принадл. к ёв		PRON					
лэскиро, лэскро	rom	его, принадлежащий ему		им. ед. м. ф. принадл. к ёв		PRON					
лэскирэ	rom	его, принадлежащие ему		им. мн. м. ф. принадл. к ёв		PRON					
лэскр-	rom	см. лэскир-				unknown					
лэскэ	rom	ему		дат. к ёв		PRON					
лэстыр	rom	[от] него		отл. к ёв		PRON					
лэстэ	rom	[у] него		местн. к ёв		PRON					
любинэ	rom	любит	гл. пер.		русск.	VERB	TRAN				
любинэн	rom	любят				VERB					
макицо	rom	мак	м.		уменьш. от мако	NOUN			m		
мако	rom	мак	м.		слав.	NOUN			m		
Макса	rom	Макся, Максим	м.			NOUN			m		
Максаскэ	rom	Максиму		дат. ед. к Макса		NOUN					
макха	rom	мухи		мн. к макхин		NOUN					
макхин	rom	муха	ж.		снскр. mákṣ̌ikā (ж.) муха	NOUN			f		
мал	rom	луг, степь	ж., взято из др. диал.		снскр. māla (ср.) поле, лес	NOUN			f		взято из др. диал.
мал	rom	друг, мн. мала друзья	м.		перс.	NOUN			m		
маля	rom	луга		мн. к мал (ж.)		NOUN					
Малярка, Маляркыца	rom	женское имя собственное	ж.			unknown			f		
